,cords,description,name,params
48,-2 -95,2S 95W,station-32322,"['sea_water_temperature', 'winds']"
49,0 -110,0 110W,station-32323,"['sea_water_temperature', 'winds']"
50,-20.474 -73.421,"180 NM West of Iquique, Chile",station-32401,[None]
51,-26.743 -73.983,"180 NM  West of Caldera, Chile",station-32402,[None]
52,-23.163 -72.037,"91NM West of Antofagasta, Chile",station-32403,[None]
53,-32.118 -73.783,120 NM NW of Valparaiso,station-32404,[None]
54,4.958 -90.868,"WEST PANAMA - 710 NM WSW of Panama City, Panama",station-32411,[None]
55,-17.984 -86.374,"SOUTHWEST LIMA - 645 NM SW of Lima, Peru",station-32412,[None]
56,-7.43 -93.48,"NORTHWEST LIMA - 1000 NM WNW of Lima, Peru",station-32413,[None]
57,2.998 -79.101,"Colombia   121NM SW of Buenaventura, Colombia",station-32489,[None]
58,-22 -85,Stratus,station-32st0,"['air_temperature', 'air_pressure_at_sea_level', 'winds']"
59,-55 -90,OOI Southern Ocean Buoy,station-34002,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
60,-35.758 -75.243,"119NM NW of Concepcion, Chile",station-34420,[None]
61,34.724 -72.317,EAST HATTERAS - 150 NM East of Cape Hatteras,station-41001,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
62,31.989 -74.962,SOUTH HATTERAS - 225 NM South of Cape Hatteras,station-41002,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
63,32.501 -79.099,"EDISTO - 41 NM Southeast of Charleston, SC",station-41004,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
64,31.4 -80.866,"GRAYS REEF - 40 NM Southeast of Savannah, GA",station-41008,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
65,28.508 -80.185,"CANAVERAL 20 NM East of Cape Canaveral, FL",station-41009,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
66,28.878 -78.485,CANAVERAL EAST - 120NM East of Cape Canaveral,station-41010,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
67,30.042 -80.534,"St. Augustine, FL 40NM ENE of St Augustine, FL",station-41012,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_electrical_conductivity', 'currents', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
68,33.441 -77.764,"Frying Pan Shoals, NC",station-41013,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
69,33.837 -78.477,"Sunset Nearshore, NC (SUN2)",station-41024,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
70,35.025 -75.363,"Diamond Shoals, NC",station-41025,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
71,32.803 -79.624,"Capers Nearshore, SC (CAP2)",station-41029,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
72,32.52 -79.34,Capers Mid-Shelf (CAP 3),station-41030,[None]
73,32.279 -80.406,"Fripp Nearshore, SC (FRP2)",station-41033,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
74,34.476 -77.28,"Onslow Bay Inner, NC",station-41035,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
75,34.207 -76.949,"Onslow Bay Outer, NC",station-41036,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
76,33.988 -77.362,"Wrightsville Beach Offshore, NC (ILM3)",station-41037,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
77,34.141 -77.715,"Wrightsville Beach Nearshore, NC (ILM2)",station-41038,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
78,14.554 -53.045,NORTH EQUATORIAL ONE- 470 NM East of Martinique,station-41040,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
79,14.311 -46.093,NORTH EQUATORIAL TWO - 890 NM East of Martinique,station-41041,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
80,21.03 -64.79,"NE PUERTO RICO - 170 NM NNE of San Juan, PR",station-41043,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
81,21.582 -58.63,NE ST MARTIN - 330 NM NE St Martin Is,station-41044,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
82,23.822 -68.384,"EAST BAHAMAS - 335 NM East of San Salvador Is,  Bahamas",station-41046,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
83,27.514 -71.494,"NE BAHAMAS - 350 NM ENE of Nassau, Bahamas",station-41047,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
84,31.831 -69.573,WEST BERMUDA - 240 NM West of Bermuda,station-41048,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
85,27.49 -62.938,SOUTH BERMUDA - 300 NM SSE of Bermuda,station-41049,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
86,18.257 -65.004,"South of St. Thomas, VI",station-41051,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
87,18.249 -64.763,"South of St. John, VI",station-41052,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
88,18.474 -66.099,"San Juan, PR",station-41053,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
89,18.261 -65.464,"Vieques Island, PR",station-41056,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
90,19.833 -70.731,"Puerto Plata, DO",station-41057,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
91,18.476 -65.157,"North of St. Thomas, VI",station-41058,"['air_temperature', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
92,14.824 -51.017,Woods Hole Northwest Tropical Atlantic Wave Station,station-41060,[None]
93,24.581 -38,Woods Hole SPURS Wave Station,station-41061,[None]
94,35.778 -75.095,Hatteras Bay (B1),station-41062,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
95,34.782 -75.941,Raleigh Bay (B2),station-41063,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
96,34.207 -76.949,"Onslow Bay Outer, NC (LEJ3)",station-41064,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
97,33.722 -78.016,"Wilmington Harbor, NC - (200)",station-41108,"['sea_water_temperature', 'waves']"
98,34.484 -77.3,"New River Inlet, NC - 190",station-41109,"['sea_water_temperature', 'waves']"
99,34.142 -77.715,"Masonboro Inlet, ILM2, NC (150)",station-41110,"['sea_water_temperature', 'waves']"
100,30.709 -81.292,"Offshore Fernandina Beach, FL (132)",station-41112,"['air_temperature', 'sea_water_temperature', 'waves']"
101,28.4 -80.533,"Cape Canaveral Nearshore, FL (143)",station-41113,"['sea_water_temperature', 'waves']"
102,27.551 -80.217,"Fort Pierce, FL (134)",station-41114,"['sea_water_temperature', 'waves']"
103,18.376 -67.28,"Rincon, Puerto Rico (181)",station-41115,"['sea_water_temperature', 'waves']"
104,28.523 -80.188,"Oculina Bank North, FL (227)",station-41116,"['sea_water_temperature', 'waves']"
105,30 -81.08,"St. Augustine, FL (194)",station-41117,"['sea_water_temperature', 'waves']"
106,28.609 -80.59,"Chester Shoal, FL (228)",station-41118,"['sea_water_temperature', 'waves']"
107,33.842 -78.483,"Sunset Beach, NC - (245)",station-41119,"['sea_water_temperature', 'waves']"
108,17.769 -64.723,"Christiansted, St. Croix, Virgin Islands",station-41140,"['sea_water_temperature', 'waves']"
109,17.684 -64.635,"Fareham, St. Croix, Virgin Islands",station-41141,"['sea_water_temperature', 'waves']"
110,34.213 -76.949,"Onslow Bay Outer, NC (217)",station-41159,"['sea_water_temperature', 'waves']"
111,23.37 -67.517,"NORTH SANTO DOMINGO - 328NM NNE of Santo Domingo, DO",station-41420,[None]
112,23.414 -63.781,"NORTH ST THOMAS - 300 NM North of St Thomas, Virgin Is",station-41421,[None]
113,33 -72.66,"EAST CHARLESTON - 370 NM East of Charleston, SC",station-41424,[None]
114,28.633 -65.65,"SOUTHWEST BERMUDA - 200 NM SSW of Hamilton, Bermuda",station-41425,[None]
115,15 -51,NTAS - Northwest Tropical Atlantic,station-41nt0,"['air_temperature', 'air_pressure_at_sea_level', 'winds']"
116,25.942 -89.657,"MID GULF - 180 nm South of Southwest Pass, LA",station-42001,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
117,26.055 -93.646,"WEST GULF - 207 NM East of Brownsville, TX",station-42002,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
118,25.925 -85.615,"East GULF - 208 NM West of Naples, FL",station-42003,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
119,30.09 -88.769,"BILOXI - 22 NM SSE of Biloxi, MS",station-42007,[None]
120,30.06 -87.548,"ORANGE BEACH - 44 NM SE of Mobile, AL",station-42012,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
121,27.173 -82.924,"C10 - WFS Central Buoy, 25m Isobath",station-42013,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
122,27.91 -95.345,"FREEPORT, TX - 60 NM South of Freeport, TX",station-42019,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
123,26.968 -96.693,"CORPUS CHRISTI, TX - 60NM SSE of Corpus Christi, TX",station-42020,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
124,28.311 -83.306,"C14 - Pasco County Buoy, FL",station-42021,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'winds']"
125,27.505 -83.741,"C12 - WFS Central Buoy, 50m Isobath",station-42022,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
126,26.01 -83.086,"C13 - WFS South Buoy, 50m Isobath",station-42023,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
127,27.464 -84.219,C16 - W. FL MERHAB,station-42024,[None]
128,25.171 -83.475,"Loop Current Pressure Point Buoy, 70m Isobath",station-42026,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
129,30.09 -88.212,"West End CP, AL",station-42031,"['sea_water_salinity', 'sea_water_temperature']"
130,29.215 -94.429,"GALVESTON,TX -  22 NM East of Galveston, TX",station-42035,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
131,28.501 -84.508,"WEST TAMPA  - 112 NM WNW of Tampa, FL",station-42036,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_electrical_conductivity', 'currents', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
132,28.787 -86.007,"PENSACOLA - 115NM SSE of Pensacola, FL",station-42039,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
133,29.207 -88.237,"LUKE OFFSHORE TEST PLATFORM - 63 NM South of Dauphin Island, AL",station-42040,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
134,28.982 -94.899,TGLO TABS Buoy B,station-42043,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
135,26.191 -97.051,TGLO TABS Buoy J,station-42044,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'winds']"
136,26.217 -96.5,TGLO TABS Buoy K,station-42045,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
137,27.89 -94.037,GERG Flower Gardens Buoy N,station-42046,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
138,27.897 -93.597,GERG Flower Gardens Buoy V,station-42047,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
139,27.939 -96.843,TABS D,station-42048,"['currents', 'sea_water_temperature']"
140,28.351 -96.006,TABS W,station-42049,"['currents', 'sea_water_temperature']"
141,28.842 -94.242,TABS F,station-42050,"['currents', 'sea_water_temperature']"
142,29.635 -93.642,TABS R,station-42051,[None]
143,22.124 -93.941,"BAY OF CAMPECHE - 214 NM NE of Veracruz, MX",station-42055,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
144,19.82 -84.945,"Yucatan Basin - 120 NM ESE of Cozumel, MX",station-42056,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
145,16.908 -81.422,"Western Caribbean - 195 NM WSW of Negril, Jamaica",station-42057,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
146,14.776 -74.548,"Central Caribbean - 210 NM SSE of Kingston, Jamaica",station-42058,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
147,15.252 -67.483,"Eastern Caribbean Sea - 180 NM SSW of Ponce, PR",station-42059,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
148,16.433 -63.331,Caribbean Valley - 63 NM WSW of Montserrat,station-42060,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
149,14.926 -75.046,Near 42058 Central Caribbean,station-42065,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
150,30.05 -88.583,USM-R1,station-42067,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
151,24.5 -81.251,"Big Pine Key, FL (237)",station-42078,"['sea_water_temperature', 'waves']"
152,24.535 -81.242,"Bahia Honda Key, FL (242)",station-42079,"['sea_water_temperature', 'waves']"
153,24.396 -81.934,"Offshore Sand Key, FL",station-42080,"['currents', 'waves', 'winds']"
154,17.869 -66.532,"Southeast of Ponce, PR",station-42085,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
155,11.185 -60.848,"Buccoo Reef, Buccoo Marine Park, TT",station-42087,"['air_temperature', 'air_pressure_at_sea_level', 'winds']"
156,11.301 -60.521,"Angel Reef, TT",station-42088,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
157,19.699 -80.061,"Little Cayman Research Center, CYM",station-42089,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
158,18.432 -69.58,"Catuan Wreck, Boca Chica, DR",station-42090,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
159,27.766 -96.979,"Aransas Pass Channel Entrance S, TX (252)",station-42092,"['sea_water_temperature', 'waves']"
160,29.017 -89.832,"Grand Isle Outer, LA (247)",station-42093,"['sea_water_temperature', 'waves']"
161,29.085 -89.907,"Grand Isle, LA (246)",station-42094,"['sea_water_temperature', 'waves']"
162,24.407 -81.967,"Satan Shoal, FL (244)",station-42095,"['air_temperature', 'sea_water_temperature', 'waves']"
163,25.701 -83.65,"Pulley Ridge, FL (226)",station-42097,"['sea_water_temperature', 'waves']"
164,27.59 -82.931,"Egmont Channel Entrance, FL (214)",station-42098,"['sea_water_temperature', 'waves']"
165,27.345 -84.275,"Offshore St. Petersburg, FL (144)",station-42099,"['sea_water_temperature', 'waves']"
166,26.689 -90.459,BW Pioneer buoy - C16471 - Walker Ridge 249,station-42360,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
167,27.55 -92.49,Auger - Garden Banks 426,station-42361,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'winds']"
168,27.795 -90.648,Brutus TLP - Green Canyon 158,station-42362,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'winds']"
169,28.16 -89.22,Mars - Mississippi Canyon 807,station-42363,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'winds']"
170,29.06 -88.09,Ram Powell TLP - Viosca Knoll 956,station-42364,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'winds']"
171,28.154 -89.104,Ursa TLP - Mississippi Canyon 809A,station-42365,"['air_temperature', 'currents', 'winds']"
172,27.122 -91.959,Red Hawk SPAR - Garden Banks 877,station-42366,[None]
173,28.742 -88.826,Matterhorn TLP - Mississippi Canyon 243,station-42367,[None]
174,27.204 -92.202,Magnolia TLP - Garden Banks 783A,station-42368,[None]
175,27.207 -90.283,Mad Dog RTMM - Green Canyon 782,station-42369,"['air_temperature', 'currents', 'winds']"
176,27.322 -90.536,Holstein Spar- Green Canyon 645,station-42370,"['air_temperature', 'currents', 'winds']"
177,27.78 -90.518,Genesis SPAR - Green Canyon 205A,station-42372,[None]
178,27.354 -94.625,Boomvang - East Breaks 643,station-42373,[None]
179,28.866 -88.056,Horn Mountain SPAR - Mississippi Canyon 126 and 127,station-42374,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'winds']"
180,28.521 -88.289,Na Kika FPU - Mississippi Canyon 474,station-42375,"['currents', 'sea_water_temperature', 'winds']"
181,29.108 -87.944,Marlin TLP - Viosca Knoll 915,station-42376,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'winds']"
182,27.293 -90.968,Constitution Truss Spar - Green Canyon 680,station-42377,[None]
183,27.362 -90.181,Marco Polo TLP - Green Canyon 608,station-42379,[None]
184,28.209 -88.737,Devil's Tower SPAR - Mississippi Canyon 773,station-42380,[None]
185,28.221 -89.615,Gomez Hub (ATP Innovator) - Mississippi Canyon 711A,station-42381,[None]
186,27.304 -93.538,Gunnison - Garden Banks 668,station-42382,[None]
187,27.37 -89.924,Neptune TLP - Green Canyon 613,station-42383,[None]
188,27.993 -90.326,Prince TLP - Ewing Bank 1003,station-42384,[None]
189,28.34 -88.266,Blind Faith Semisub - Mississippi Canyon 696,station-42385,[None]
190,27.326 -90.714,Tahiti Spar - Green Canyon 641,station-42386,[None]
191,28.267 -88.399,Thunder Hawk FPU - Mississippi Canyon 734,station-42387,[None]
192,27.73 -91.109,Helix Producer 1 - Green Canyon 237,station-42388,[None]
193,26.129 -94.898,Perdido - Alaminos Canyon 857,station-42390,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'winds']"
194,28.034 -89.101,Telemark Hub (ATP Titan) - Mississippi Canyon 941,station-42391,[None]
195,27.301 -90.135,Shenzi TLP - Green Canyon 653,station-42393,[None]
196,28.157 -89.24,Olympus TLP - Mississippi Canyon 807,station-42394,"['air_temperature', 'currents', 'winds']"
197,26.404 -90.792,Shell Alcyone Buoy - C16522 - Walker Ridge 552,station-42395,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
198,26.235 -91.261,Jack & St Malo FPU - Walker Ridge Block 758,station-42396,[None]
199,28.755 -88.267,Delta House FPU - Mississippi Canyon 254,station-42397,[None]
200,26.132 -92.04,Lucius SPAR - Keathley Canyon 875,station-42398,[None]
201,27.111 -92.04,Heidelberg - Green Canyon 860,station-42399,[None]
202,28.574 -87.934,Shell Appomattox - MC 437,station-42400,[None]
203,27.509 -90.556,Stampede TLP - Green Canyon 468,station-42401,[None]
204,15.229 -68.188,"SOUTH PUERTO RICO - 230 NM Southwest of San Juan, PR",station-42407,[None]
205,25.2 -87,"EAST GULF of MEXICO - 225NM WNW of Loggerhead Key, FL",station-42408,[None]
206,25.911 -89.264,"GULF OF MEXICO - 247 NM South of New Orleans, LA",station-42409,[None]
207,27.401 -85.671,DART WAVE GLIDER STATION,station-42429,[None]
208,27.57 -92.395,Noble Globetrotter I - Garden Banks 427,station-42851,[None]
209,28.501 -89.769,Who Dat FPS - Mississippi Canyon 547,station-42852,[None]
210,27.461 -93.569,West Capricorn - Garden Banks 492,station-42853,[None]
211,27.768 -90.798,Atwood Condor - Green Canyon 199,station-42854,[None]
212,28.201 -88.766,ENSCO 8506 - Mississippi Canyon 772,station-42855,[None]
213,26.52 -90.531,Titanium Explorer - Walker Ridge 425,station-42856,[None]
214,27.944 -90.879,Noble Don Taylor - GC 21,station-42857,[None]
215,27.962 -89.048,Stena IceMAX - Atwater Valley 18,station-42858,[None]
216,27.514 -90.376,Discoverer 534 (D534) - Green Canyon 516,station-42859,[None]
217,27.937 -90.01,Atwood Advantage - Mississippi Canyon 40,station-42860,[None]
218,28.369 -87.924,Deepwater Nautilus -  Mississippi Canyon 657,station-42861,[None]
219,27.57 -92.396,Noble Jim Thompson - Garden Banks 427,station-42862,[None]
220,28.962 -88.696,Ocean Victory - Mississippi Canyon 26,station-42863,[None]
221,28.003 -89.013,Thalassa - Mississippi Canyon 943,station-42864,[None]
222,28.466 -88.294,BlackHornet - MC518,station-42865,[None]
223,28.491 -88.997,Transocean Amirante - Mississippi Canyon 460,station-42866,[None]
224,28.183 -88.629,Discoverer Deep Seas - Mississippi Canyon 819,station-42867,[None]
225,28.214 -88.519,Discoverer Enterprise - Mississippi Canyon 777,station-42868,[None]
226,26.995 -92.23,Pacific Khamsin - Garden Banks 1003,station-42869,[None]
227,24.354 -96.267,La Muralla - Chimalli - Perdido Block 3,station-42870,[None]
228,27.331 -89.868,GSF CR Luigs - Atwater Valley 617,station-42871,[None]
229,28.738 -88.366,Deepwater Horizon,station-42872,[None]
230,26.453 -90.77,Pontus - Walker Ridge 508,station-42873,[None]
231,27.059 -91.199,Deepwater Asgard - Greeni Canyon 895,station-42874,[None]
232,28.154 -89.836,Noble Amos Runner - Mississippi Canyon 794,station-42875,[None]
233,26.298 -91.093,Deepwater Conqueror - Walker Ridge 634,station-42876,[None]
234,28.18 -89.29,Cajun Express - Mississippi Canyon 762,station-42877,[None]
235,28.246 -88.928,Noble Paul Romano - Mississippi Canyon 725,station-42878,[None]
236,28.274 -88.839,Ocean BlackRhino - MC683,station-42879,[None]
237,27.146 -90.319,West Auriga - Green Canyon 825,station-42880,[None]
238,27.554 -88.361,Transocean Marianas - Atwater Valley 428,station-42881,[None]
239,28.185 -89.131,Noble Globetrotter II - MC765,station-42882,[None]
240,26.515 -94.212,Maersk Valiant - Alaminos Canyon 475,station-42883,[None]
241,28.893 -88.104,Ocean Blackhawk - MC081,station-42884,[None]
242,28.249 -88.828,GSF Development Driller II - Mississippi Canyon 727 #2,station-42885,[None]
243,28.17 -89.24,Discoverer Spirit - Mississippi Canyon 762,station-42886,[None]
244,28.191 -88.496,Thunder Horse Semisub - Mississippi Canyon 778,station-42887,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'winds']"
245,26.305 -91.073,Rowan Relentless - Walker Ridge 678,station-42888,[None]
246,28.394 -89.465,Medusa Spar - Mississippi Canyon 582A,station-42889,[None]
247,27.625 -90.441,Front Runner SPAR - Green Canyon 338A,station-42890,[None]
248,27.224 -90.014,West Vela - Green Canyon 743,station-42891,[None]
